,0
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,1
821,0
822,0
823,0
824,1
825,0
